Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,CriticalCases,TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,Date Last Updated
World,14440011,25352,605142,899,8625382,18651,5209487,60094,1853.0,77.6,,,,All,,,,2020-07-19
USA,3833597,326,142878,1,1775271,52,1915448,16673,11578.0,432.0,,143776.0,331097557.0,North America,86.0,2317.0,7.0,2020-07-19
Brazil,2075246,326,78817,1,1366775,52,629654,8318,9760.0,371.0,,23096.0,212632374.0,South America,102.0,2698.0,43.0,2020-07-19
India,1078757,893,26838,10,677856,226,374063,8944,781.0,19.0,,9989.0,1380641231.0,Asia,1280.0,51444.0,100.0,2020-07-19
Russia,771546,6109,12342,95,550344,3481,208860,2300,5287.0,85.0,,171249.0,145937686.0,Europe,189.0,11824.0,6.0,2020-07-19
South Africa,350879,6109,4948,95,182230,3481,163701,539,5913.0,83.0,,40826.0,59342751.0,Africa,169.0,11993.0,24.0,2020-07-19
Peru,349500,6109,12998,95,238086,3481,98416,1311,10593.0,394.0,,61900.0,32992469.0,South America,94.0,2538.0,16.0,2020-07-19
Mexico,338913,7615,38888,578,213006,4570,87019,378,2627.0,301.0,,6315.0,128995882.0,North America,381.0,3317.0,158.0,2020-07-19
Chile,328846,7615,8445,578,299449,4570,20952,1792,17195.0,442.0,,72596.0,19124005.0,South America,58.0,2265.0,14.0,2020-07-19
Spain,307335,7615,28420,578,299449,4570,20952,617,6573.0,608.0,,128892.0,46755711.0,Europe,152.0,1645.0,8.0,2020-07-19
UK,294066,7615,45273,578,299449,4570,20952,142,4331.0,667.0,,193109.0,67903554.0,Europe,231.0,1500.0,5.0,2020-07-19
Iran,271606,7615,13979,578,235300,4570,22327,3529,3232.0,166.0,,25267.0,84041815.0,Asia,309.0,6012.0,40.0,2020-07-19
Pakistan,263496,1580,5568,46,204276,5767,53652,1763,1192.0,25.0,,7788.0,221072824.0,Asia,839.0,39704.0,128.0,2020-07-19
Saudi Arabia,248416,1580,2447,46,194218,5767,51751,2182,7131.0,70.0,,75286.0,34837754.0,Asia,140.0,14237.0,13.0,2020-07-19
Italy,244216,1580,35042,46,196806,5767,12368,50,4039.0,580.0,,102594.0,60457165.0,Europe,248.0,1725.0,10.0,2020-07-19
Turkey,218717,1580,5475,46,201013,5767,12229,1231,2592.0,65.0,,50154.0,84381245.0,Asia,386.0,15412.0,20.0,2020-07-19
Germany,202572,1580,9162,46,187800,300,5610,249,2417.0,109.0,,82158.0,83797389.0,Europe,414.0,9146.0,12.0,2020-07-19
Bangladesh,202066,1580,2581,46,110098,300,89387,1,1226.0,16.0,,6176.0,164766291.0,Asia,815.0,63838.0,162.0,2020-07-19
Colombia,190700,1580,6516,46,85836,300,98348,1040,3746.0,128.0,,23297.0,50908124.0,South America,267.0,7813.0,43.0,2020-07-19
France,174674,1580,30152,46,79233,300,65289,477,2676.0,462.0,,40115.0,65280829.0,Europe,374.0,2165.0,25.0,2020-07-19
Argentina,122524,1580,2220,46,52607,300,67697,752,2710.0,49.0,,11760.0,45215376.0,South America,369.0,20367.0,85.0,2020-07-19
Canada,109999,1580,8848,46,96914,300,4237,2177,2913.0,234.0,,92214.0,37757861.0,North America,343.0,4267.0,11.0,2020-07-19
Qatar,106308,1580,154,46,103023,300,3131,132,37862.0,55.0,,156346.0,2807805.0,Asia,26.0,18233.0,6.0,2020-07-19
Iraq,90220,1580,3691,46,58492,300,28037,397,2241.0,92.0,,19307.0,40259056.0,Asia,446.0,10907.0,52.0,2020-07-19
Egypt,87172,1580,4251,46,27868,300,55053,41,851.0,42.0,,1318.0,102416176.0,Africa,1175.0,24092.0,759.0,2020-07-19
Indonesia,84882,1580,4016,46,43268,300,37598,41,310.0,15.0,,4389.0,273658307.0,Asia,3224.0,68142.0,228.0,2020-07-19
Sweden,77281,1580,5619,46,43268,300,37598,62,7650.0,556.0,,67491.0,10102333.0,Europe,131.0,1798.0,15.0,2020-07-19
