Date,State,Confirmed,Deceased,Recovered
01-Apr-20,AN,0,0,0
01-Apr-20,AP,67,0,1
01-Apr-20,AR,0,0,0
01-Apr-20,AS,15,0,0
01-Apr-20,BR,3,0,0
01-Apr-20,CH,2,0,0
01-Apr-20,CT,0,0,0
01-Apr-20,DD,0,0,0
01-Apr-20,DL,32,0,0
01-Apr-20,DN,0,0,0
01-Apr-20,GA,0,0,0
01-Apr-20,GJ,13,0,0
01-Apr-20,HP,0,0,0
01-Apr-20,HR,0,0,10
01-Apr-20,JH,0,0,0
01-Apr-20,JK,7,0,1
01-Apr-20,KA,9,0,1
01-Apr-20,KL,24,0,2
01-Apr-20,LA,0,0,0
01-Apr-20,LD,0,0,0
01-Apr-20,MH,33,3,0
01-Apr-20,ML,0,0,0
01-Apr-20,MN,0,0,0
01-Apr-20,MP,32,1,0
01-Apr-20,MZ,0,0,0
01-Apr-20,NL,0,0,0
01-Apr-20,OR,1,0,1
01-Apr-20,PB,4,0,0
01-Apr-20,PY,2,0,0
01-Apr-20,RJ,27,0,0
01-Apr-20,SK,0,0,0
01-Apr-20,TG,30,3,0
01-Apr-20,TN,110,0,0
01-Apr-20,TR,0,0,0
01-Apr-20,TT,424,9,16
01-Apr-20,UN,0,0,0
01-Apr-20,UP,13,2,0
01-Apr-20,UT,0,0,0
01-Apr-20,WB,0,0,0
01-Jul-20,AN,3,0,5
01-Jul-20,AP,657,6,477
01-Jul-20,AR,4,0,4
01-Jul-20,AS,548,0,184
01-Jul-20,BR,216,5,267
01-Jul-20,CH,6,0,3
01-Jul-20,CT,82,1,53
01-Jul-20,DD,0,0,0
01-Jul-20,DL,2442,61,1644
01-Jul-20,DN,16,0,27
01-Jul-20,GA,72,1,74
01-Jul-20,GJ,675,21,368
01-Jul-20,HP,26,0,42
01-Jul-20,HR,393,4,527
01-Jul-20,JH,35,0,47
01-Jul-20,JK,198,4,134
01-Jul-20,KA,1272,7,145
01-Jul-20,KL,151,1,132
01-Jul-20,LA,17,0,46
01-Jul-20,LD,0,0,0
01-Jul-20,MH,5537,198,2243
01-Jul-20,ML,2,0,0
01-Jul-20,MN,26,0,26
01-Jul-20,MP,268,9,260
01-Jul-20,MZ,0,0,1
01-Jul-20,NL,42,0,14
01-Jul-20,OR,251,1,164
01-Jul-20,PB,100,5,122
01-Jul-20,PY,25,0,29
01-Jul-20,RJ,304,8,354
01-Jul-20,SK,1,0,2
01-Jul-20,TG,1018,7,788
01-Jul-20,TN,3882,63,2852
01-Jul-20,TR,8,0,1
01-Jul-20,TT,19429,438,12064
01-Jul-20,UN,-89,0,0
01-Jul-20,UP,564,21,545
01-Jul-20,UT,66,0,86
01-Jul-20,WB,611,15,398
01-Jun-20,AN,0,0,0
01-Jun-20,AP,105,2,34
01-Jun-20,AR,18,0,0
01-Jun-20,AS,146,0,99
01-Jun-20,BR,138,0,221
01-Jun-20,CH,4,0,15
01-Jun-20,CT,49,0,7
01-Jun-20,DD,0,0,0
01-Jun-20,DL,990,50,268
01-Jun-20,DN,1,0,0
01-Jun-20,GA,2,0,6
01-Jun-20,GJ,423,25,861
01-Jun-20,HP,9,0,2
01-Jun-20,HR,265,1,7
01-Jun-20,JH,26,0,40
01-Jun-20,JK,155,3,19
01-Jun-20,KA,187,1,100
01-Jun-20,KL,57,1,18
01-Jun-20,LA,0,0,0
01-Jun-20,LD,0,0,0
01-Jun-20,MH,2358,76,779
01-Jun-20,ML,1,0,0
01-Jun-20,MN,12,0,0
01-Jun-20,MP,194,8,161
01-Jun-20,MZ,0,0,0
01-Jun-20,NL,0,0,0
01-Jun-20,OR,156,0,119
01-Jun-20,PB,38,-1,13
01-Jun-20,PY,9,0,0
01-Jun-20,RJ,269,5,181
01-Jun-20,SK,0,0,0
01-Jun-20,TG,94,6,63
01-Jun-20,TN,1162,11,413
01-Jun-20,TR,107,0,0
01-Jun-20,TT,7723,201,3882
01-Jun-20,UN,139,0,0
01-Jun-20,UP,286,5,187
01-Jun-20,UT,52,0,120
01-Jun-20,WB,271,8,149
01-May-20,AN,0,0,0
01-May-20,AP,60,2,82
01-May-20,AR,0,0,0
01-May-20,AS,0,0,4
01-May-20,BR,41,1,14
01-May-20,CH,14,0,0
01-May-20,CT,3,0,0
01-May-20,DD,0,0,0
01-May-20,DL,223,2,73
01-May-20,DN,0,0,0
01-May-20,GA,0,0,0
01-May-20,GJ,326,22,123
01-May-20,HP,0,0,2
01-May-20,HR,18,0,6
01-May-20,JH,3,0,2
01-May-20,JK,25,0,31
01-May-20,KA,24,0,22
01-May-20,KL,0,0,9
01-May-20,LA,0,0,0
01-May-20,LD,0,0,0
01-May-20,MH,1008,26,106
01-May-20,ML,0,0,10
01-May-20,MN,0,0,0
01-May-20,MP,90,8,42
01-May-20,MZ,0,0,0
01-May-20,NL,0,0,0
01-May-20,OR,11,0,14
01-May-20,PB,105,0,4
01-May-20,PY,0,0,0
01-May-20,RJ,82,4,223
01-May-20,SK,0,0,0
01-May-20,TG,6,0,22
01-May-20,TN,203,1,54
01-May-20,TR,0,0,0
01-May-20,TT,2396,77,962
01-May-20,UN,0,0,0
01-May-20,UP,117,2,103
01-May-20,UT,0,1,1
01-May-20,WB,37,8,15
02-Apr-20,AN,0,0,0
02-Apr-20,AP,38,0,0
02-Apr-20,AR,1,0,0
02-Apr-20,AS,0,0,0
02-Apr-20,BR,5,0,3
02-Apr-20,CH,1,0,0
02-Apr-20,CT,0,0,1
02-Apr-20,DD,0,0,0
02-Apr-20,DL,141,2,2
02-Apr-20,DN,0,0,0
02-Apr-20,GA,0,0,0
02-Apr-20,GJ,1,1,5
02-Apr-20,HP,3,0,0
02-Apr-20,HR,6,0,0
02-Apr-20,JH,1,0,0
02-Apr-20,JK,8,0,1
02-Apr-20,KA,14,0,2
02-Apr-20,KL,21,0,2
02-Apr-20,LA,0,0,0
02-Apr-20,LD,0,0,0
02-Apr-20,MH,88,8,3
02-Apr-20,ML,0,0,0
02-Apr-20,MN,1,0,0
02-Apr-20,MP,9,2,0
02-Apr-20,MZ,0,0,0
02-Apr-20,NL,0,0,0
02-Apr-20,OR,0,0,0
02-Apr-20,PB,1,1,0
02-Apr-20,PY,2,0,0
02-Apr-20,RJ,13,0,0
02-Apr-20,SK,0,0,0
02-Apr-20,TG,27,0,3
02-Apr-20,TN,75,0,0
02-Apr-20,TR,0,0,0
02-Apr-20,TT,486,14,22
02-Apr-20,UN,0,0,0
02-Apr-20,UP,11,0,0
02-Apr-20,UT,3,0,0
02-Apr-20,WB,16,0,0
02-Jul-20,AN,9,0,1
02-Jul-20,AP,845,5,325
02-Jul-20,AR,37,0,5
02-Jul-20,AS,479,2,275
02-Jul-20,BR,478,5,183
02-Jul-20,CH,4,0,22
02-Jul-20,CT,73,0,59
02-Jul-20,DD,0,0,0
02-Jul-20,DL,2373,61,3015
02-Jul-20,DN,25,0,3
02-Jul-20,GA,95,0,64
02-Jul-20,GJ,681,19,563
02-Jul-20,HP,35,0,15
02-Jul-20,HR,568,11,520
02-Jul-20,JH,60,0,57
02-Jul-20,JK,154,10,118
02-Jul-20,KA,1502,19,271
02-Jul-20,KL,160,0,202
02-Jul-20,LA,1,0,35
02-Jul-20,LD,0,0,0
02-Jul-20,MH,6328,125,8018
02-Jul-20,ML,3,0,1
02-Jul-20,MN,19,0,37
02-Jul-20,MP,245,8,160
02-Jul-20,MZ,2,0,3
02-Jul-20,NL,34,0,15
02-Jul-20,OR,229,2,149
02-Jul-20,PB,116,3,155
02-Jul-20,PY,63,0,30
02-Jul-20,RJ,350,9,374
02-Jul-20,SK,12,0,0
02-Jul-20,TG,1213,8,987
02-Jul-20,TN,4343,57,3095
